,params,mean_test_score
6,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.7633333333333333
7,"{'C': 0.1, 'gamma': 0.005, 'kernel': 'linear'}",0.7633333333333333
8,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",0.7633333333333333
17,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.7611111111111111
16,"{'C': 1, 'gamma': 0.005, 'kernel': 'linear'}",0.7611111111111111
15,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.7611111111111111
14,"{'C': 0.5, 'gamma': 0.001, 'kernel': 'linear'}",0.76
13,"{'C': 0.5, 'gamma': 0.005, 'kernel': 'linear'}",0.76
12,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'linear'}",0.76
11,"{'C': 0.2, 'gamma': 0.001, 'kernel': 'linear'}",0.7596296296296297
9,"{'C': 0.2, 'gamma': 0.01, 'kernel': 'linear'}",0.7596296296296297
10,"{'C': 0.2, 'gamma': 0.005, 'kernel': 'linear'}",0.7596296296296297
5,"{'C': 0.005, 'gamma': 0.001, 'kernel': 'linear'}",0.7451851851851852
4,"{'C': 0.005, 'gamma': 0.005, 'kernel': 'linear'}",0.7451851851851852
3,"{'C': 0.005, 'gamma': 0.01, 'kernel': 'linear'}",0.7451851851851852
1,"{'C': 0.001, 'gamma': 0.005, 'kernel': 'linear'}",0.7229629629629629
2,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'linear'}",0.7229629629629629
0,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'linear'}",0.7229629629629629
