,params,mean_test_score
14,"{'C': 0.5, 'gamma': 0.001, 'kernel': 'linear'}",0.7252419955323902
13,"{'C': 0.5, 'gamma': 0.005, 'kernel': 'linear'}",0.7252419955323902
12,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'linear'}",0.7252419955323902
9,"{'C': 0.2, 'gamma': 0.01, 'kernel': 'linear'}",0.7241250930752048
10,"{'C': 0.2, 'gamma': 0.005, 'kernel': 'linear'}",0.7241250930752048
11,"{'C': 0.2, 'gamma': 0.001, 'kernel': 'linear'}",0.7241250930752048
16,"{'C': 1, 'gamma': 0.005, 'kernel': 'linear'}",0.723752792256143
15,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.723752792256143
17,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.723752792256143
8,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",0.7215189873417721
7,"{'C': 0.1, 'gamma': 0.005, 'kernel': 'linear'}",0.7215189873417721
6,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.7215189873417721
5,"{'C': 0.005, 'gamma': 0.001, 'kernel': 'linear'}",0.6984363365599404
4,"{'C': 0.005, 'gamma': 0.005, 'kernel': 'linear'}",0.6984363365599404
3,"{'C': 0.005, 'gamma': 0.01, 'kernel': 'linear'}",0.6984363365599404
1,"{'C': 0.001, 'gamma': 0.005, 'kernel': 'linear'}",0.6742367833209233
2,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'linear'}",0.6742367833209233
0,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'linear'}",0.6742367833209233
