lex,feature,Twitter,Weibo
PoliteLex,you_direct,,-0.3873033691358613
LIWC,You,,-0.35668258188395574
PoliteLex,gratitude,0.14476238493152613,0.43917108330152127
LIWC,Pronoun,-0.05388042378377446,-0.31321594034900985
LIWC,Social,,-0.25393300880255354
LIWC,Ppron,-0.048366905431812844,-0.2874760962580706
LIWC,Ipron,,-0.22454565692316358
LIWC,Assent,0.0357235532839839,-0.17826970086505456
LIWC,Family,,-0.2059833786200575
LIWC,Friend,,0.1890263970179504
LIWC,Function,-0.06048206134821454,-0.24730695237448205
LIWC,Nonflu,,-0.17565043387774937
LIWC,Sexual,-0.2520998253496437,-0.07822313716099692
PoliteLex,can_you,,-0.17170325553594568
PoliteLex,praise,0.11989559216850593,-0.04111988777702963
LIWC,Power,,-0.15238694464028021
PoliteLex,you_honorific,,0.13929813074518152
LIWC,Interrog,-0.06438405316504281,-0.20048997756460973
LIWC,Female,-0.0659338101629893,-0.2012335385387578
PoliteLex,start_you,-0.04481684896585067,-0.1801120359773882
LIWC,Prep,,-0.12580037343826528
LIWC,Number,,-0.12320201936091647
LIWC,Filler,,-0.11656833861862961
LIWC,Insight,,-0.11395327242968542
LIWC,Anger,-0.3670697538443334,-0.25424469716572146
LIWC,Male,,-0.11134285047574784
LIWC,Netspeak,,-0.1101136072901524
LIWC,See,0.043948818569141616,-0.06308552914763041
LIWC,Negate,-0.10398805670355882,-0.204657794717428
PoliteLex,taboo,-0.4171395643219241,-0.32469264134639303
LIWC,Swear,-0.42129038436803473,-0.3294828868859058
LIWC,Adverb,-0.05595603493947771,-0.14692045956233168
PoliteLex,first_person_plural,0.08980238622715825,
EmoLex,Anticipation,0.08442077789146102,
LIWC,Drives,0.07826100840853184,
PoliteLex,best_wishes,0.052370600992817415,0.1282201390399251
LIWC,Death,-0.0377426343196612,-0.11358761866285365
LIWC,Hear,,-0.07529740651933828
PoliteLex,start_please,0.07424789219747527,
LIWC,Percept,,-0.07336536896458695
LIWC,Affiliation,0.1262675214850611,0.195967110296612
PoliteLex,first_person_singular,,-0.06961337703660692
LIWC,Reward,0.06827412377544875,
LIWC,Auxverb,,-0.0674404697459013
PoliteLex,please,0.10325048768717575,0.1700428454284529
PoliteLex,greeting,0.06486929956043655,
LIWC,Shehe,-0.05260651303856503,-0.11649289509394764
LIWC,Differ,-0.09681604101002625,-0.15958082068385054
LIWC,Time,0.06147141195290121,
LIWC,Space,,-0.060988660079235646
LIWC,Leisure,0.06088451959943033,
LIWC,Motion,,-0.06028694403369687
LIWC,Compare,-0.04268877332082901,-0.10294225270511301
PoliteLex,promise,,0.06000009592973593
LIWC,I,-0.04056409095483482,-0.10026040223774739
LIWC,Quant,,-0.059488116982068594
PoliteLex,emergency,,0.05714621422801458
PoliteLex,honorifics,0.05691104924940317,
LIWC,Negemo,-0.31116624284175953,-0.2562518885386724
LIWC,Focusfuture,,0.05385882083869734
LIWC,Tentat,-0.05248351020346235,
LIWC,Feel,,-0.051624790628032755
LIWC,Ingest,,-0.050426072769280544
LIWC,Money,,-0.0496758565988476
LIWC,Achieve,0.04921313854876103,
LIWC,Informal,-0.21930745206765617,-0.26329169455450707
EmoLex,Fear,-0.11418217986758608,-0.15741710219846577
LIWC,Conj,-0.05536404885235455,-0.09766036750200066
PoliteLex,start_question,,-0.042051384937985534
EmoLex,Trust,0.041385602286801874,
LIWC,Focuspast,-0.04078654642213576,
LIWC,Relativ,,-0.04045569994486869
EmoLex,Anger,-0.19557382703948112,-0.15512814373014724
PoliteLex,start_i,,-0.037033900692156084
LIWC,Focuspresent,-0.036232065156994134,
PoliteLex,ingroup_ident,0.035415564765198755,
LIWC,Body,-0.19099421094342794,-0.15753826324952253
EmoLex,Sadness,-0.11411122268636233,-0.14031943516810685
EmoLex,Joy,0.16503267088942342,0.1388426025600512
LIWC,They,-0.06991845176043847,-0.04441858531423947
LIWC,Bio,-0.16890565507791386,-0.14428376239264562
LIWC,Posemo,0.27148868481157784,0.24691208946294224
LIWC,Risk,-0.08202127525807885,-0.05836051043928167
PoliteLex,apologetic,0.06429801835493966,0.08702260380621529
EmoLex,Surprise,0.08067977749248025,0.0599104214975962
LIWC,Cause,-0.0806893440582547,-0.06060240342350605
LIWC,We,0.08952648479848334,0.07365419365399747
LIWC,Cogproc,-0.08157338864679411,-0.09651102260900563
LIWC,Anx,-0.0621020061511339,-0.050370434523871015
LIWC,Health,-0.04035329819187724,-0.03646148403238329
EmoLex,Disgust,-0.2243339048749593,-0.2257271477296337
