lex,feature,twitr,weibo
PoliteLex,gratitude,0.7271698113207548,0.7233962264150944
PoliteLex,apologetic,0.7260377358490566,0.769811320754717
EmoLex,Joy,0.720754716981132,0.7788679245283019
LIWC,Swear,0.7256603773584905,0.7773584905660378
EmoLex,Trust,0.7245283018867924,0.7788679245283019
LIWC,Cogproc,0.7249056603773585,0.7788679245283019
LIWC,Posemo,0.7271698113207548,0.7766037735849056
PoliteLex,please,0.7245283018867924,0.779245283018868
PoliteLex,start_you,0.7260377358490566,0.7777358490566038
PoliteLex,taboo,0.7290566037735849,0.7747169811320754
LIWC,Ingest,0.7283018867924528,0.7758490566037736
LIWC,Number,0.7252830188679246,0.7788679245283019
LIWC,Bio,0.7267924528301887,0.7777358490566038
LIWC,Negemo,0.7256603773584905,0.7788679245283019
PoliteLex,best_wishes,0.7271698113207548,0.7773584905660378
PoliteLex,emergency,0.7264150943396226,0.7781132075471698
PoliteLex,factuality,0.7256603773584905,0.779622641509434
PoliteLex,first_person_plural,0.7260377358490566,0.779245283018868
LIWC,Focusfuture,0.7252830188679246,0.78
LIWC,Hear,0.7252830188679246,0.78
LIWC,Leisure,0.7267924528301887,0.7788679245283019
LIWC,Netspeak,0.7256603773584905,0.78
LIWC,Friend,0.7260377358490566,0.779622641509434
LIWC,Feel,0.7267924528301887,0.7788679245283019
PoliteLex,start_question,0.7252830188679246,0.780377358490566
LIWC,Ipron,0.7256603773584905,0.780377358490566
LIWC,Focuspast,0.7283018867924528,0.7777358490566038
LIWC,Filler,0.7264150943396226,0.779622641509434
LIWC,You,0.7275471698113207,0.7784905660377358
LIWC,Quant,0.7264150943396226,0.779622641509434
LIWC,Space,0.7264150943396226,0.779622641509434
PoliteLex,indirect_btw,0.7260377358490566,0.78
LIWC,Money,0.7267924528301887,0.779245283018868
LIWC,Drives,0.7267924528301887,0.779245283018868
LIWC,Shehe,0.7267924528301887,0.779245283018868
PoliteLex,ingroup_ident,0.7267924528301887,0.779622641509434
EmoLex,Sadness,0.7264150943396226,0.78
PoliteLex,can_you,0.7267924528301887,0.779622641509434
LIWC,Sexual,0.7264150943396226,0.78
PoliteLex,greeting,0.7264150943396226,0.78
PoliteLex,honorifics,0.7267924528301887,0.779622641509434
LIWC,Conj,0.7283018867924528,0.7781132075471698
LIWC,Pronoun,0.7256603773584905,0.7807547169811321
LIWC,They,0.7271698113207548,0.779245283018868
PoliteLex,could_you,0.7264150943396226,0.780377358490566
LIWC,Assent,0.7264150943396226,0.780377358490566
LIWC,Auxverb,0.7264150943396226,0.780377358490566
EmoLex,Anger,0.7256603773584905,0.7811320754716982
EmoLex,Disgust,0.7275471698113207,0.779245283018868
PoliteLex,start_i,0.7267924528301887,0.78
LIWC,Sad,0.7271698113207548,0.78
LIWC,Home,0.7286792452830189,0.7784905660377358
LIWC,Reward,0.7267924528301887,0.780377358490566
PoliteLex,start_please,0.7260377358490566,0.7811320754716982
LIWC,I,0.7267924528301887,0.7807547169811321
PoliteLex,together,0.7264150943396226,0.7811320754716982
LIWC,Health,0.7275471698113207,0.78
LIWC,Social,0.7271698113207548,0.780377358490566
LIWC,Nonflu,0.7286792452830189,0.7788679245283019
PoliteLex,you_honorific,0.7264150943396226,0.7811320754716982
LIWC,Ppron,0.7264150943396226,0.7811320754716982
LIWC,Relig,0.7271698113207548,0.780377358490566
LIWC,Family,0.7271698113207548,0.780377358490566
LIWC,We,0.7275471698113207,0.78
LIWC,Differ,0.7267924528301887,0.7807547169811321
PoliteLex,hedge,0.7275471698113207,0.780377358490566
PoliteLex,you_direct,0.7279245283018868,0.78
LIWC,Power,0.7286792452830189,0.779245283018868
PoliteLex,first_person_singular,0.7271698113207548,0.7807547169811321
LIWC,Informal,0.7290566037735849,0.7788679245283019
LIWC,Adverb,0.7286792452830189,0.779245283018868
LIWC,Cause,0.7279245283018868,0.78
LIWC,Affect,0.7275471698113207,0.780377358490566
LIWC,Affiliation,0.7279245283018868,0.78
LIWC,Tentat,0.7283018867924528,0.779622641509434
PoliteLex,promise,0.7275471698113207,0.7807547169811321
LIWC,Risk,0.7279245283018868,0.780377358490566
LIWC,Male,0.7283018867924528,0.78
LIWC,Motion,0.7279245283018868,0.780377358490566
LIWC,Body,0.7279245283018868,0.780377358490566
PoliteLex,praise,0.7283018867924528,0.78
LIWC,Function,0.7264150943396226,0.7822641509433962
EmoLex,Surprise,0.7283018867924528,0.780377358490566
LIWC,Achieve,0.729811320754717,0.7788679245283019
LIWC,Insight,0.7275471698113207,0.7811320754716982
LIWC,Focuspresent,0.729811320754717,0.7788679245283019
LIWC,Negate,0.7275471698113207,0.7811320754716982
LIWC,Time,0.7294339622641509,0.779622641509434
LIWC,See,0.7264150943396226,0.7826415094339623
LIWC,Death,0.7275471698113207,0.7815094339622641
LIWC,Percept,0.7279245283018868,0.7811320754716982
LIWC,Compare,0.7290566037735849,0.78
LIWC,Prep,0.7283018867924528,0.7811320754716982
EmoLex,Anticipation,0.7294339622641509,0.78
LIWC,Discrep,0.7294339622641509,0.780377358490566
LIWC,Anger,0.729811320754717,0.78
PoliteLex,start_so,0.7283018867924528,0.7818867924528302
LIWC,Anx,0.729811320754717,0.780377358490566
LIWC,Female,0.730188679245283,0.78
LIWC,Work,0.730188679245283,0.78
EmoLex,Fear,0.7309433962264151,0.779622641509434
LIWC,Certain,0.7313207547169811,0.779245283018868
LIWC,Interrog,0.730188679245283,0.7811320754716982
LIWC,Relativ,0.7294339622641509,0.7822641509433962
